state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib,elderly,n2
GA,31645,1740,1470,66886000,40,3685000,506000,320,3780
GA,31647,1270,1120,42637000,40,2288000,253000,220,2730
GA,31648,350,330,11077000,0,551000,0,60,770
GA,31649,250,180,10764000,0,640000,0,60,540
GA,31650,1140,1030,42195000,90,2407000,396000,210,2440
GA,31701,6660,5670,213633000,30,13869000,4938000,1220,13050
GA,31705,10730,9570,331561000,80,17410000,6691000,2160,21840
GA,31707,10150,6980,425860000,40,32409000,10848000,2340,18760
GA,31709,5890,4730,287127000,120,25095000,5931000,1380,11870
GA,31711,290,200,11987000,20,752000,0,80,570
GA,31712,440,260,18669000,30,1056000,210000,90,860
GA,31714,2500,2160,90744000,140,5557000,1183000,530,5160
GA,31716,1130,1000,49850000,40,3099000,749000,260,2420
GA,31719,3340,2920,128120000,70,8685000,2643000,720,6880
GA,31721,8970,5980,688930000,150,80428000,38541000,2800,17520
GA,31730,3550,3010,167486000,180,13623000,4623000,830,7280
GA,31733,660,420,51433000,70,4273000,4023000,200,1340
GA,31735,350,150,21085000,0,1970000,250000,150,620
GA,31738,870,670,47268000,50,4834000,395000,230,1830
GA,31743,220,200,6610000,0,295000,0,50,450
GA,31744,1150,820,55041000,110,4097000,721000,310,2380
GA,31749,860,730,33445000,40,1941000,276000,170,1870
GA,31750,6770,5330,306941000,260,26996000,5421000,1620,13840
GA,31756,380,250,20114000,50,1580000,146000,100,800
GA,31757,4340,3070,243120000,70,20391000,4865000,1140,8870
GA,31763,11590,9270,735995000,200,68368000,20149000,2430,24910
GA,31764,500,300,22467000,30,1759000,195000,150,910
GA,31765,920,820,41081000,60,2621000,335000,240,2040
GA,31768,8120,7040,361378000,180,29895000,8670000,1590,17220
GA,31771,2010,1810,89183000,130,6776000,1390000,390,4480
GA,31772,190,120,7378000,0,435000,0,50,380
GA,31773,1540,1100,77227000,80,6206000,976000,420,3190
GA,31774,2310,1810,95269000,190,5944000,1452000,520,4730
GA,31775,1080,1080,42373000,60,2403000,1115000,190,2490
GA,31778,960,640,42119000,70,2933000,201000,270,1960
GA,31779,2930,2420,117098000,130,7587000,1846000,650,6120
GA,31780,690,490,30949000,30,2346000,335000,200,1380
GA,31781,620,420,25816000,30,1520000,353000,150,1230
GA,31783,410,280,18483000,60,1089000,0,120,860
GA,31784,260,190,11187000,30,675000,0,70,560
GA,31787,580,490,25878000,30,1816000,351000,160,1230
GA,31788,3630,3270,162778000,120,12033000,2646000,760,8000
GA,31789,540,360,23684000,60,1487000,383000,120,1060
GA,31790,710,530,33212000,90,2438000,438000,180,1500
GA,31791,4780,3440,221166000,210,16240000,4614000,1200,9520
GA,31792,9330,6960,565547000,120,63349000,12686000,2320,18510
GA,31793,4130,2810,272192000,160,27251000,12575000,1080,8300
GA,31794,10350,8550,472395000,190,38492000,17923000,2010,21230
GA,31795,870,650,38378000,60,2738000,593000,200,1790
GA,31796,430,240,21672000,20,1807000,149000,140,810
GA,31798,440,320,21968000,70,1774000,403000,110,920
GA,31801,1100,720,52503000,40,4607000,1055000,290,2180
GA,31803,1770,1400,77152000,100,5400000,1096000,420,3690
GA,31804,2640,1670,202626000,30,18581000,4228000,720,5440
GA,31805,1110,790,40677000,0,2254000,458000,270,2220
GA,31806,1680,1460,82492000,100,5777000,1031000,310,3690
GA,31807,1260,890,91448000,0,8606000,1767000,330,2680
GA,31808,3790,2760,352973000,50,44325000,8085000,1000,8200
GA,31811,2510,1800,191996000,50,21139000,5956000,650,5270
GA,31812,200,120,6403000,0,329000,0,50,360
GA,31815,700,520,27803000,30,1923000,391000,190,1390
GA,31816,2090,1580,85202000,40,5587000,2187000,540,4130
GA,31820,5360,3770,497938000,40,57098000,14333000,1440,11480
GA,31822,2470,1530,163741000,80,16924000,3923000,790,4840
GA,31823,340,210,16730000,0,1237000,153000,110,690
GA,31824,590,470,23031000,30,1264000,171000,150,1230
GA,31825,790,580,30879000,40,1811000,370000,200,1560
GA,31826,780,540,34288000,30,2315000,724000,210,1550
GA,31827,760,560,28714000,20,1785000,1167000,210,1460
GA,31829,700,450,58938000,0,6516000,1451000,210,1460
GA,31830,850,510,39968000,30,3092000,814000,270,1610
GA,31831,1530,1190,100756000,40,8874000,1948000,370,3370
GA,31833,2980,2280,149339000,40,12192000,3862000,640,5970
GA,31836,380,190,16284000,30,1080000,313000,130,670
GA,31901,2410,1450,119951000,0,13559000,1804000,370,4200
GA,31903,6990,6730,155585000,0,4908000,935000,1110,14260
GA,31904,13910,9170,1132765000,50,159078000,35010000,3370,26760
GA,31905,4050,4850,178165000,0,6724000,123000,30,11140
GA,31906,8990,6540,505643000,30,57707000,15488000,1970,16810
GA,31907,24740,17420,883224000,0,53122000,18185000,5310,45750
GA,31909,17050,10720,948626000,30,86138000,15869000,3710,32620
GA,39813,750,630,29765000,40,1938000,322000,190,1540
GA,39815,630,520,22553000,0,1234000,481000,140,1270
GA,39817,3940,3350,143743000,80,8085000,2200000,760,8130
GA,39819,4090,3280,215137000,90,19632000,4316000,1020,8480
GA,39823,3250,2800,138807000,180,9872000,1694000,760,6800
GA,39824,140,100,5700000,0,353000,0,30,290
GA,39825,500,380,23410000,30,1535000,188000,130,1050
GA,39826,260,220,11042000,0,809000,0,70,520
GA,39827,1480,1110,70575000,70,5378000,695000,310,3080
GA,39828,5620,4790,241867000,110,17270000,3975000,1280,11810
GA,39834,840,630,48135000,60,4655000,799000,250,1780
GA,39836,160,120,7249000,0,486000,0,60,330
GA,39837,2180,1560,112571000,170,8490000,3790000,610,4480
GA,39840,1710,1420,66452000,70,4038000,1076000,470,3460
GA,39841,310,230,15193000,30,1525000,0,70,600
GA,39842,3110,2560,135010000,130,10088000,4019000,770,6340
GA,39845,2850,2110,136147000,120,11387000,1958000,790,5830
GA,39846,760,640,28121000,50,1615000,282000,170,1570
GA,39851,790,640,29152000,30,1915000,279000,240,1600
GA,39854,830,580,32332000,0,2107000,253000,290,1640
GA,39859,490,320,23921000,40,1903000,367000,140,960
GA,39861,320,190,14571000,40,1036000,0,110,630
GA,39862,490,310,21228000,30,1568000,387000,190,930
GA,39866,180,100,7696000,0,494000,0,50,320
GA,39867,150,90,5435000,0,307000,0,60,280
GA,39870,770,610,33436000,50,1965000,442000,200,1570
GA,39877,160,100,7839000,0,536000,0,60,320
GA,39886,550,410,23856000,40,1685000,278000,120,1060
GA,39897,1310,920,66730000,100,4609000,781000,370,2680
