state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib
SC,29082,220,150,8930000,20,520000,0
SC,29101,1210,990,52073000,20,3567000,341000
SC,29102,7220,4950,302253000,110,21316000,4293000
SC,29104,620,470,24338000,20,1667000,310000
SC,29105,650,520,24961000,30,1605000,0
SC,29107,1170,810,49503000,60,3525000,445000
SC,29108,8120,6110,357811000,250,26254000,3433000
SC,29111,590,520,25981000,20,1869000,328000
SC,29112,1860,1290,73349000,80,4929000,548000
SC,29113,600,440,24148000,30,1563000,372000
SC,29114,780,670,29264000,0,1628000,0
SC,29115,10750,8030,373134000,100,23532000,5859000
SC,29118,6570,4310,406293000,80,48233000,10561000
SC,29123,2920,2200,121899000,50,7751000,870000
SC,29125,1160,800,42510000,30,2596000,436000
SC,29126,1120,690,64497000,70,5391000,443000
SC,29127,4290,2280,272711000,180,25891000,2818000
SC,29128,1900,1340,73118000,40,5094000,644000
SC,29129,1260,910,58046000,60,4095000,482000
SC,29130,2920,1520,186013000,60,20557000,2458000
SC,29133,380,270,15715000,0,1010000,0
SC,29135,3620,2300,166866000,140,14784000,1740000
SC,29137,1020,750,42970000,50,2961000,0
SC,29138,3970,3650,169057000,220,10985000,1527000
SC,29142,2190,1390,102089000,30,9142000,1419000
SC,29145,330,240,14747000,0,1010000,0
SC,29146,680,480,30015000,40,2093000,258000
SC,29148,2500,1360,108762000,40,8219000,1719000
SC,29150,16610,12090,826160000,70,77710000,13568000
SC,29152,1010,850,37758000,0,1532000,0
SC,29153,6480,4740,260474000,80,17072000,3623000
SC,29154,13320,8960,616633000,50,43777000,7598000
SC,29160,3350,2150,161446000,100,13609000,1342000
SC,29161,4450,3190,186533000,100,13317000,1924000
SC,29162,1000,790,46769000,20,3228000,562000
SC,29163,830,630,28160000,0,1795000,369000
SC,29164,1860,1180,90899000,80,7501000,1082000
SC,29166,340,210,15517000,40,1065000,0
SC,29168,1360,1020,46226000,0,2681000,338000
SC,29169,9920,4670,534575000,40,50626000,11374000
